"SettlementPoint","Month","Weekday","Hourend","NormAveragePrice"
"HB_BUSAVG","01","Friday",1,0.799703203272963
"HB_BUSAVG","01","Friday",2,0.747829366478368
"HB_BUSAVG","01","Friday",3,0.750215218621125
"HB_BUSAVG","01","Friday",4,0.772893112184244
"HB_BUSAVG","01","Friday",5,0.840090514802942
"HB_BUSAVG","01","Friday",6,0.98533233854504
"HB_BUSAVG","01","Friday",7,1.60491600324673
"HB_BUSAVG","01","Friday",8,1.41758971541949
"HB_BUSAVG","01","Friday",9,1.16717362608532
"HB_BUSAVG","01","Friday",10,1.08954734399725
"HB_BUSAVG","01","Friday",11,1.04052669120842
"HB_BUSAVG","01","Friday",12,0.96900031975338
"HB_BUSAVG","01","Friday",13,0.916560765440399
"HB_BUSAVG","01","Friday",14,0.885618476826079
"HB_BUSAVG","01","Friday",15,0.855660044765473
"HB_BUSAVG","01","Friday",16,0.842746927497971
"HB_BUSAVG","01","Friday",17,0.883872131443236
"HB_BUSAVG","01","Friday",18,1.30343775877477
"HB_BUSAVG","01","Friday",19,1.32527937426723
"HB_BUSAVG","01","Friday",20,1.09281866703835
"HB_BUSAVG","01","Friday",21,1.01617624150399
"HB_BUSAVG","01","Friday",22,0.976674400872353
"HB_BUSAVG","01","Friday",23,0.883601570890964
"HB_BUSAVG","01","Friday",24,0.832736187063926
"HB_BUSAVG","01","Monday",1,0.761318097109259
"HB_BUSAVG","01","Monday",2,0.731616128053625
"HB_BUSAVG","01","Monday",3,0.7284032302336
"HB_BUSAVG","01","Monday",4,0.751078429956227
"HB_BUSAVG","01","Monday",5,0.816122275032143
"HB_BUSAVG","01","Monday",6,0.923349850478901
"HB_BUSAVG","01","Monday",7,1.53336126320047
"HB_BUSAVG","01","Monday",8,1.39398159518065
"HB_BUSAVG","01","Monday",9,1.16799237225697
"HB_BUSAVG","01","Monday",10,1.1490385865561
"HB_BUSAVG","01","Monday",11,1.05521734733679
"HB_BUSAVG","01","Monday",12,0.963037228586701
"HB_BUSAVG","01","Monday",13,0.920021380794846
"HB_BUSAVG","01","Monday",14,0.896560292396816
"HB_BUSAVG","01","Monday",15,0.878692882217824
"HB_BUSAVG","01","Monday",16,0.860316955837101
"HB_BUSAVG","01","Monday",17,0.897230609208188
"HB_BUSAVG","01","Monday",18,1.31613238757025
"HB_BUSAVG","01","Monday",19,1.3937735658254
"HB_BUSAVG","01","Monday",20,1.12118576732494
"HB_BUSAVG","01","Monday",21,1.04791320553011
"HB_BUSAVG","01","Monday",22,0.980373008191156
"HB_BUSAVG","01","Monday",23,0.89801649788359
"HB_BUSAVG","01","Monday",24,0.815267043238324
"HB_BUSAVG","01","Saturday",1,0.883248313051959
"HB_BUSAVG","01","Saturday",2,0.818195923459581
"HB_BUSAVG","01","Saturday",3,0.786607009977613
"HB_BUSAVG","01","Saturday",4,0.781211309438993
"HB_BUSAVG","01","Saturday",5,0.82523819927994
"HB_BUSAVG","01","Saturday",6,0.890974550912424
"HB_BUSAVG","01","Saturday",7,1.07166718913767
"HB_BUSAVG","01","Saturday",8,1.18434360226341
"HB_BUSAVG","01","Saturday",9,1.37965276260501
"HB_BUSAVG","01","Saturday",10,1.32734233250055
"HB_BUSAVG","01","Saturday",11,1.15470524719211
"HB_BUSAVG","01","Saturday",12,1.06242103563252
"HB_BUSAVG","01","Saturday",13,0.955368310392106
"HB_BUSAVG","01","Saturday",14,0.894141041838844
"HB_BUSAVG","01","Saturday",15,0.869113097556419
"HB_BUSAVG","01","Saturday",16,0.850950105602472
"HB_BUSAVG","01","Saturday",17,0.874787449296564
"HB_BUSAVG","01","Saturday",18,1.17882124208773
"HB_BUSAVG","01","Saturday",19,1.34200951847172
"HB_BUSAVG","01","Saturday",20,1.11888590183245
"HB_BUSAVG","01","Saturday",21,1.02214327104846
"HB_BUSAVG","01","Saturday",22,0.968312925299312
"HB_BUSAVG","01","Saturday",23,0.911037437422223
"HB_BUSAVG","01","Saturday",24,0.848822223699918
"HB_BUSAVG","01","Sunday",1,0.850459575157179
"HB_BUSAVG","01","Sunday",2,0.776439635873046
"HB_BUSAVG","01","Sunday",3,0.745953414715448
"HB_BUSAVG","01","Sunday",4,0.75746145846368
"HB_BUSAVG","01","Sunday",5,0.793777412309527
"HB_BUSAVG","01","Sunday",6,0.86080671975537
"HB_BUSAVG","01","Sunday",7,1.05487877331656
"HB_BUSAVG","01","Sunday",8,1.16317047446495
"HB_BUSAVG","01","Sunday",9,1.25046504316042
"HB_BUSAVG","01","Sunday",10,1.19824981834662
"HB_BUSAVG","01","Sunday",11,1.09790775268221
"HB_BUSAVG","01","Sunday",12,1.02709290452972
"HB_BUSAVG","01","Sunday",13,0.962032078251333
"HB_BUSAVG","01","Sunday",14,0.924656173007623
"HB_BUSAVG","01","Sunday",15,0.891444362541233
"HB_BUSAVG","01","Sunday",16,0.887557874082401
"HB_BUSAVG","01","Sunday",17,0.915268032055118
"HB_BUSAVG","01","Sunday",18,1.26941798363174
"HB_BUSAVG","01","Sunday",19,1.51792611255464
"HB_BUSAVG","01","Sunday",20,1.17942306256552
"HB_BUSAVG","01","Sunday",21,1.07945955097178
"HB_BUSAVG","01","Sunday",22,1.01351543186184
"HB_BUSAVG","01","Sunday",23,0.919533074584616
"HB_BUSAVG","01","Sunday",24,0.863103281117408
"HB_BUSAVG","01","Thursday",1,0.727227921464313
"HB_BUSAVG","01","Thursday",2,0.692807176968035
"HB_BUSAVG","01","Thursday",3,0.696481912166943
"HB_BUSAVG","01","Thursday",4,0.724444690071057
"HB_BUSAVG","01","Thursday",5,0.812834030802181
"HB_BUSAVG","01","Thursday",6,1.04986532312936
"HB_BUSAVG","01","Thursday",7,1.98220435187945
"HB_BUSAVG","01","Thursday",8,1.73982403671836
"HB_BUSAVG","01","Thursday",9,1.25232366299344
"HB_BUSAVG","01","Thursday",10,1.10948735813176
"HB_BUSAVG","01","Thursday",11,1.01881489789835
"HB_BUSAVG","01","Thursday",12,0.933861108418278
"HB_BUSAVG","01","Thursday",13,0.886285246789816
"HB_BUSAVG","01","Thursday",14,0.857648405032648
"HB_BUSAVG","01","Thursday",15,0.816508766001089
"HB_BUSAVG","01","Thursday",16,0.81635655803427
"HB_BUSAVG","01","Thursday",17,0.852038454255617
"HB_BUSAVG","01","Thursday",18,1.21659827878158
"HB_BUSAVG","01","Thursday",19,1.27906877716301
"HB_BUSAVG","01","Thursday",20,1.03614486212042
"HB_BUSAVG","01","Thursday",21,0.97352215577217
"HB_BUSAVG","01","Thursday",22,0.896026556666211
"HB_BUSAVG","01","Thursday",23,0.844754215843581
"HB_BUSAVG","01","Thursday",24,0.784871252898067
"HB_BUSAVG","01","Tuesday",1,0.631925646898484
"HB_BUSAVG","01","Tuesday",2,0.60010517938517
"HB_BUSAVG","01","Tuesday",3,0.602633435028686
"HB_BUSAVG","01","Tuesday",4,0.635737782360973
"HB_BUSAVG","01","Tuesday",5,0.726774737524762
"HB_BUSAVG","01","Tuesday",6,0.873788852795772
"HB_BUSAVG","01","Tuesday",7,1.57796730550661
"HB_BUSAVG","01","Tuesday",8,1.50808473936005
"HB_BUSAVG","01","Tuesday",9,1.19331691174232
"HB_BUSAVG","01","Tuesday",10,1.12872788084937
"HB_BUSAVG","01","Tuesday",11,1.01926231228401
"HB_BUSAVG","01","Tuesday",12,0.949340242143026
"HB_BUSAVG","01","Tuesday",13,0.906083368242245
"HB_BUSAVG","01","Tuesday",14,0.868554573533805
"HB_BUSAVG","01","Tuesday",15,0.840368473508045
"HB_BUSAVG","01","Tuesday",16,0.845839776736591
"HB_BUSAVG","01","Tuesday",17,0.902449000754691
"HB_BUSAVG","01","Tuesday",18,1.47942459140113
"HB_BUSAVG","01","Tuesday",19,1.65547414257815
"HB_BUSAVG","01","Tuesday",20,1.24453384052073
"HB_BUSAVG","01","Tuesday",21,1.10103558075398
"HB_BUSAVG","01","Tuesday",22,1.00320393854824
"HB_BUSAVG","01","Tuesday",23,0.887951034798904
"HB_BUSAVG","01","Tuesday",24,0.817416652744252
"HB_BUSAVG","01","Wednesday",1,0.570807104423599
"HB_BUSAVG","01","Wednesday",2,0.550861387552974
"HB_BUSAVG","01","Wednesday",3,0.553741250416647
"HB_BUSAVG","01","Wednesday",4,0.578395314508833
"HB_BUSAVG","01","Wednesday",5,0.688317699157183
"HB_BUSAVG","01","Wednesday",6,1.05922575115471
"HB_BUSAVG","01","Wednesday",7,3.4613361268511
"HB_BUSAVG","01","Wednesday",8,3.48443597923908
"HB_BUSAVG","01","Wednesday",9,1.58060282843674
"HB_BUSAVG","01","Wednesday",10,0.895972572734632
"HB_BUSAVG","01","Wednesday",11,0.844317889624304
"HB_BUSAVG","01","Wednesday",12,0.766104471215656
"HB_BUSAVG","01","Wednesday",13,0.72272367982477
"HB_BUSAVG","01","Wednesday",14,0.688744345507357
"HB_BUSAVG","01","Wednesday",15,0.653576496357316
"HB_BUSAVG","01","Wednesday",16,0.64391600399981
"HB_BUSAVG","01","Wednesday",17,0.666436836341127
"HB_BUSAVG","01","Wednesday",18,0.943955049759535
"HB_BUSAVG","01","Wednesday",19,1.02771487072044
"HB_BUSAVG","01","Wednesday",20,0.839182896052569
"HB_BUSAVG","01","Wednesday",21,0.789539545735917
