"SettlementPoint","Month","Weekday","Hourend","NormAveragePrice"
"HB_SOUTH","01","Friday",1,0.796861159825224
"HB_SOUTH","01","Friday",2,0.73991023392682
"HB_SOUTH","01","Friday",3,0.745094076033647
"HB_SOUTH","01","Friday",4,0.764497815295901
"HB_SOUTH","01","Friday",5,0.831483518116696
"HB_SOUTH","01","Friday",6,0.981149124632167
"HB_SOUTH","01","Friday",7,1.60523140029129
"HB_SOUTH","01","Friday",8,1.42196593645038
"HB_SOUTH","01","Friday",9,1.171239187944
"HB_SOUTH","01","Friday",10,1.09528876735131
"HB_SOUTH","01","Friday",11,1.04121511161311
"HB_SOUTH","01","Friday",12,0.973064233272895
"HB_SOUTH","01","Friday",13,0.922604999554142
"HB_SOUTH","01","Friday",14,0.896043753529709
"HB_SOUTH","01","Friday",15,0.867865529233422
"HB_SOUTH","01","Friday",16,0.850578129179919
"HB_SOUTH","01","Friday",17,0.88933804951996
"HB_SOUTH","01","Friday",18,1.30038343786226
"HB_SOUTH","01","Friday",19,1.31438932318759
"HB_SOUTH","01","Friday",20,1.09217370626876
"HB_SOUTH","01","Friday",21,1.02259608239455
"HB_SOUTH","01","Friday",22,0.975370805219511
"HB_SOUTH","01","Friday",23,0.877828968879113
"HB_SOUTH","01","Friday",24,0.82382665041762
"HB_SOUTH","01","Monday",1,0.765512220723593
"HB_SOUTH","01","Monday",2,0.731335955620517
"HB_SOUTH","01","Monday",3,0.72860456323117
"HB_SOUTH","01","Monday",4,0.749936512057066
"HB_SOUTH","01","Monday",5,0.813300300791765
"HB_SOUTH","01","Monday",6,0.919350560669078
"HB_SOUTH","01","Monday",7,1.52086637057771
"HB_SOUTH","01","Monday",8,1.37971433247366
"HB_SOUTH","01","Monday",9,1.16052573660122
"HB_SOUTH","01","Monday",10,1.14589811454918
"HB_SOUTH","01","Monday",11,1.05303077331136
"HB_SOUTH","01","Monday",12,0.961969311339229
"HB_SOUTH","01","Monday",13,0.921630483242005
"HB_SOUTH","01","Monday",14,0.898063758824824
"HB_SOUTH","01","Monday",15,0.880975626273286
"HB_SOUTH","01","Monday",16,0.863368303432864
"HB_SOUTH","01","Monday",17,0.901246621030593
"HB_SOUTH","01","Monday",18,1.31348371040469
"HB_SOUTH","01","Monday",19,1.39188144402621
"HB_SOUTH","01","Monday",20,1.13768136389032
"HB_SOUTH","01","Monday",21,1.06199244916732
"HB_SOUTH","01","Monday",22,0.989531543631736
"HB_SOUTH","01","Monday",23,0.898470081659603
"HB_SOUTH","01","Monday",24,0.811629862471007
"HB_SOUTH","01","Saturday",1,0.893035187268327
"HB_SOUTH","01","Saturday",2,0.823922527406387
"HB_SOUTH","01","Saturday",3,0.793089564195906
"HB_SOUTH","01","Saturday",4,0.786913009368605
"HB_SOUTH","01","Saturday",5,0.826761750189904
"HB_SOUTH","01","Saturday",6,0.893035187268327
"HB_SOUTH","01","Saturday",7,1.08124577125993
"HB_SOUTH","01","Saturday",8,1.18769172017882
"HB_SOUTH","01","Saturday",9,1.37747134834026
"HB_SOUTH","01","Saturday",10,1.32626571638489
"HB_SOUTH","01","Saturday",11,1.15481650900125
"HB_SOUTH","01","Saturday",12,1.0617447937205
"HB_SOUTH","01","Saturday",13,0.957764485639925
"HB_SOUTH","01","Saturday",14,0.892711416249154
"HB_SOUTH","01","Saturday",15,0.864767486748218
"HB_SOUTH","01","Saturday",16,0.845640091153995
"HB_SOUTH","01","Saturday",17,0.86718331666051
"HB_SOUTH","01","Saturday",18,1.16916205569692
"HB_SOUTH","01","Saturday",19,1.33368754436286
"HB_SOUTH","01","Saturday",20,1.11484324086488
"HB_SOUTH","01","Saturday",21,1.02603035975941
"HB_SOUTH","01","Saturday",22,0.972583236132846
"HB_SOUTH","01","Saturday",23,0.906334704517436
"HB_SOUTH","01","Saturday",24,0.843298977630743
"HB_SOUTH","01","Sunday",1,0.845439677633993
"HB_SOUTH","01","Sunday",2,0.767833046246836
"HB_SOUTH","01","Sunday",3,0.737636106982731
"HB_SOUTH","01","Sunday",4,0.74999844537998
"HB_SOUTH","01","Sunday",5,0.782583280994459
"HB_SOUTH","01","Sunday",6,0.850986561864549
"HB_SOUTH","01","Sunday",7,1.05050027672236
"HB_SOUTH","01","Sunday",8,1.15238385433832
"HB_SOUTH","01","Sunday",9,1.24391988110266
"HB_SOUTH","01","Sunday",10,1.19272935309152
"HB_SOUTH","01","Sunday",11,1.09467635920428
"HB_SOUTH","01","Sunday",12,1.02167140307566
"HB_SOUTH","01","Sunday",13,0.954312826858859
"HB_SOUTH","01","Sunday",14,0.9199370689816
"HB_SOUTH","01","Sunday",15,0.890088364601924
"HB_SOUTH","01","Sunday",16,0.889168029550217
"HB_SOUTH","01","Sunday",17,0.921081269316154
"HB_SOUTH","01","Sunday",18,1.27272388082905
"HB_SOUTH","01","Sunday",19,1.52696022038293
"HB_SOUTH","01","Sunday",20,1.20039052054897
"HB_SOUTH","01","Sunday",21,1.10099433496465
"HB_SOUTH","01","Sunday",22,1.03639676390297
"HB_SOUTH","01","Sunday",23,0.930259745912904
"HB_SOUTH","01","Sunday",24,0.867328727512421
"HB_SOUTH","01","Thursday",1,0.726612796257239
"HB_SOUTH","01","Thursday",2,0.684512008404697
"HB_SOUTH","01","Thursday",3,0.68714726052366
"HB_SOUTH","01","Thursday",4,0.717041560561168
"HB_SOUTH","01","Thursday",5,0.803730814266552
"HB_SOUTH","01","Thursday",6,1.04834545695711
"HB_SOUTH","01","Thursday",7,1.99773192634295
"HB_SOUTH","01","Thursday",8,1.76129710622965
"HB_SOUTH","01","Thursday",9,1.26901092839054
"HB_SOUTH","01","Thursday",10,1.12103625140657
"HB_SOUTH","01","Thursday",11,1.00965995585074
"HB_SOUTH","01","Thursday",12,0.931867313298975
"HB_SOUTH","01","Thursday",13,0.881312636648803
"HB_SOUTH","01","Thursday",14,0.852514601492782
"HB_SOUTH","01","Thursday",15,0.816885992844412
"HB_SOUTH","01","Thursday",16,0.815958384098537
"HB_SOUTH","01","Thursday",17,0.846316488508983
"HB_SOUTH","01","Thursday",18,1.19813318739893
"HB_SOUTH","01","Thursday",19,1.26783033544124
"HB_SOUTH","01","Thursday",20,1.03828933487115
"HB_SOUTH","01","Thursday",21,0.988008724441348
"HB_SOUTH","01","Thursday",22,0.902015177295371
"HB_SOUTH","01","Thursday",23,0.845009403457978
"HB_SOUTH","01","Thursday",24,0.789732355010624
"HB_SOUTH","01","Tuesday",1,0.62084462044045
"HB_SOUTH","01","Tuesday",2,0.584700216038839
"HB_SOUTH","01","Tuesday",3,0.58612443644657
"HB_SOUTH","01","Tuesday",4,0.616302512113091
"HB_SOUTH","01","Tuesday",5,0.70616312135224
"HB_SOUTH","01","Tuesday",6,0.854185812647655
"HB_SOUTH","01","Tuesday",7,1.5371957292634
"HB_SOUTH","01","Tuesday",8,1.48619324168924
"HB_SOUTH","01","Tuesday",9,1.19068675330674
"HB_SOUTH","01","Tuesday",10,1.12503789099902
"HB_SOUTH","01","Tuesday",11,1.01962633460519
"HB_SOUTH","01","Tuesday",12,0.95565189358764
"HB_SOUTH","01","Tuesday",13,0.916505078596758
"HB_SOUTH","01","Tuesday",14,0.883497808336501
"HB_SOUTH","01","Tuesday",15,0.863327767967551
"HB_SOUTH","01","Tuesday",16,0.873682235256191
"HB_SOUTH","01","Tuesday",17,0.928572459619021
"HB_SOUTH","01","Tuesday",18,1.48663590478894
"HB_SOUTH","01","Tuesday",19,1.64961291036553
"HB_SOUTH","01","Tuesday",20,1.25991541285551
"HB_SOUTH","01","Tuesday",21,1.11589593567913
"HB_SOUTH","01","Tuesday",22,1.01593106003378
"HB_SOUTH","01","Tuesday",23,0.896065591123643
"HB_SOUTH","01","Tuesday",24,0.827645272887366
"HB_SOUTH","01","Wednesday",1,0.577990702402128
"HB_SOUTH","01","Wednesday",2,0.548453639067848
"HB_SOUTH","01","Wednesday",3,0.550576241797336
"HB_SOUTH","01","Wednesday",4,0.571114665391112
"HB_SOUTH","01","Wednesday",5,0.677469020463684
"HB_SOUTH","01","Wednesday",6,1.04554627124471
"HB_SOUTH","01","Wednesday",7,3.43861642177013
"HB_SOUTH","01","Wednesday",8,3.46755556884258
"HB_SOUTH","01","Wednesday",9,1.58538991614224
"HB_SOUTH","01","Wednesday",10,0.89793569410604
"HB_SOUTH","01","Wednesday",11,0.836589485642536
"HB_SOUTH","01","Wednesday",12,0.761984484073006
"HB_SOUTH","01","Wednesday",13,0.714778995201722
"HB_SOUTH","01","Wednesday",14,0.686333129045277
"HB_SOUTH","01","Wednesday",15,0.652281797934199
"HB_SOUTH","01","Wednesday",16,0.643417689352606
"HB_SOUTH","01","Wednesday",17,0.67054813973303
"HB_SOUTH","01","Wednesday",18,0.947697274996637
"HB_SOUTH","01","Wednesday",19,1.04137580531847
"HB_SOUTH","01","Wednesday",20,0.859878324040718
"HB_SOUTH","01","Wednesday",21,0.807964244607543
"HB_SOUTH","01","Wednesday",22,0.744076892031271
"HB_SOUTH","01","Wednesday",23,0.668096683059538
"HB_SOUTH","01","Wednesday",24,0.604328913735631
"HB_SOUTH","02","Friday",1,0.702476327856867
"HB_SOUTH","02","Friday",2,0.656830186721864
"HB_SOUTH","02","Friday",3,0.637978923240135
"HB_SOUTH","02","Friday",4,0.674110511580115
"HB_SOUTH","02","Friday",5,0.737659424952483
"HB_SOUTH","02","Friday",6,0.85968875161015
"HB_SOUTH","02","Friday",7,1.56889343923172
"HB_SOUTH","02","Friday",8,1.30195243464611
"HB_SOUTH","02","Friday",9,1.18413203788531
"HB_SOUTH","02","Friday",10,1.1552326952836
"HB_SOUTH","02","Friday",11,1.09046852750439
