"SettlementPoint","Month","Weekday","Hourend","NormAveragePrice"
"LZ_CPS","01","Friday",1,0.793921174395764
"LZ_CPS","01","Friday",2,0.734877223313485
"LZ_CPS","01","Friday",3,0.740596382496749
"LZ_CPS","01","Friday",4,0.759374674389976
"LZ_CPS","01","Friday",5,0.828629755835896
"LZ_CPS","01","Friday",6,0.990387027310722
"LZ_CPS","01","Friday",7,1.6218099865318
"LZ_CPS","01","Friday",8,1.43405022209016
"LZ_CPS","01","Friday",9,1.17796155582741
"LZ_CPS","01","Friday",10,1.09543895125594
"LZ_CPS","01","Friday",11,1.04320242041609
"LZ_CPS","01","Friday",12,0.97461881919816
"LZ_CPS","01","Friday",13,0.923655785342436
"LZ_CPS","01","Friday",14,0.898857325887878
"LZ_CPS","01","Friday",15,0.871141400615138
"LZ_CPS","01","Friday",16,0.851737937475157
"LZ_CPS","01","Friday",17,0.884339460268823
"LZ_CPS","01","Friday",18,1.29121016945228
"LZ_CPS","01","Friday",19,1.3069320685836
"LZ_CPS","01","Friday",20,1.09293826626892
"LZ_CPS","01","Friday",21,1.02227076089515
"LZ_CPS","01","Friday",22,0.972696996476658
"LZ_CPS","01","Friday",23,0.871650799408789
"LZ_CPS","01","Friday",24,0.817700836263019
"LZ_CPS","01","Monday",1,0.763419614102298
"LZ_CPS","01","Monday",2,0.729242875041298
"LZ_CPS","01","Monday",3,0.726167847105218
"LZ_CPS","01","Monday",4,0.747143930526333
"LZ_CPS","01","Monday",5,0.808842169615246
"LZ_CPS","01","Monday",6,0.915831177305562
"LZ_CPS","01","Monday",7,1.52455492173779
"LZ_CPS","01","Monday",8,1.39391016342492
"LZ_CPS","01","Monday",9,1.17958071628017
"LZ_CPS","01","Monday",10,1.15019223500535
"LZ_CPS","01","Monday",11,1.04900185142307
"LZ_CPS","01","Monday",12,0.958486207676038
"LZ_CPS","01","Monday",13,0.916841543627416
"LZ_CPS","01","Monday",14,0.89492098734022
"LZ_CPS","01","Monday",15,0.876185281415391
"LZ_CPS","01","Monday",16,0.856483138139224
"LZ_CPS","01","Monday",17,0.898413340496196
"LZ_CPS","01","Monday",18,1.29416943586965
"LZ_CPS","01","Monday",19,1.39705108481677
"LZ_CPS","01","Monday",20,1.1470513136135
"LZ_CPS","01","Monday",21,1.07448065432202
"LZ_CPS","01","Monday",22,1.00153659878115
"LZ_CPS","01","Monday",23,0.890769699626512
"LZ_CPS","01","Monday",24,0.805723212708651
"LZ_CPS","01","Saturday",1,0.89952849356074
"LZ_CPS","01","Saturday",2,0.831334860772346
"LZ_CPS","01","Saturday",3,0.79974301733721
"LZ_CPS","01","Saturday",4,0.794733071419089
"LZ_CPS","01","Saturday",5,0.832867028698762
"LZ_CPS","01","Saturday",6,0.90560852501477
"LZ_CPS","01","Saturday",7,1.12898888063581
"LZ_CPS","01","Saturday",8,1.24042369712526
"LZ_CPS","01","Saturday",9,1.38704973567063
"LZ_CPS","01","Saturday",10,1.32926511673154
"LZ_CPS","01","Saturday",11,1.15768662909883
"LZ_CPS","01","Saturday",12,1.06351910193882
"LZ_CPS","01","Saturday",13,0.951792443939577
"LZ_CPS","01","Saturday",14,0.882893527502516
"LZ_CPS","01","Saturday",15,0.852055607967679
"LZ_CPS","01","Saturday",16,0.831091659514185
"LZ_CPS","01","Saturday",17,0.850426159537999
"LZ_CPS","01","Saturday",18,1.1485909020436
"LZ_CPS","01","Saturday",19,1.30976037582701
"LZ_CPS","01","Saturday",20,1.1004613730535
"LZ_CPS","01","Saturday",21,1.01825934779503
"LZ_CPS","01","Saturday",22,0.962396018795404
"LZ_CPS","01","Saturday",23,0.892208135690089
"LZ_CPS","01","Saturday",24,0.829316290329609
"LZ_CPS","01","Sunday",1,0.843522245464728
"LZ_CPS","01","Sunday",2,0.766927676027884
"LZ_CPS","01","Sunday",3,0.736682640916925
"LZ_CPS","01","Sunday",4,0.747975430000563
"LZ_CPS","01","Sunday",5,0.778195915570035
"LZ_CPS","01","Sunday",6,0.847057379438736
"LZ_CPS","01","Sunday",7,1.05329807746403
"LZ_CPS","01","Sunday",8,1.15326381039571
"LZ_CPS","01","Sunday",9,1.24073382671092
"LZ_CPS","01","Sunday",10,1.1869948803977
"LZ_CPS","01","Sunday",11,1.08715189517346
"LZ_CPS","01","Sunday",12,1.01610552211249
"LZ_CPS","01","Sunday",13,0.95087739038374
"LZ_CPS","01","Sunday",14,0.918251049748623
"LZ_CPS","01","Sunday",15,0.889822680707641
"LZ_CPS","01","Sunday",16,0.89033822107885
"LZ_CPS","01","Sunday",17,0.921614336932228
"LZ_CPS","01","Sunday",18,1.26854845721475
"LZ_CPS","01","Sunday",19,1.52433012995914
"LZ_CPS","01","Sunday",20,1.21014509801916
"LZ_CPS","01","Sunday",21,1.11361630089555
"LZ_CPS","01","Sunday",22,1.04760258383924
"LZ_CPS","01","Sunday",23,0.93658955723879
"LZ_CPS","01","Sunday",24,0.87035489430911
"LZ_CPS","01","Thursday",1,0.716382571695734
"LZ_CPS","01","Thursday",2,0.677408230318524
"LZ_CPS","01","Thursday",3,0.680537707280666
"LZ_CPS","01","Thursday",4,0.710535391055941
"LZ_CPS","01","Thursday",5,0.804213813277973
"LZ_CPS","01","Thursday",6,1.04635709322376
"LZ_CPS","01","Thursday",7,2.00022990675051
"LZ_CPS","01","Thursday",8,1.76739270303425
"LZ_CPS","01","Thursday",9,1.29167102746013
"LZ_CPS","01","Thursday",10,1.10717600734329
"LZ_CPS","01","Thursday",11,1.01024457617377
"LZ_CPS","01","Thursday",12,0.928878175158061
"LZ_CPS","01","Thursday",13,0.873309370415805
"LZ_CPS","01","Thursday",14,0.846399986274224
"LZ_CPS","01","Thursday",15,0.812881640916539
"LZ_CPS","01","Thursday",16,0.811831619041083
"LZ_CPS","01","Thursday",17,0.841252820218068
"LZ_CPS","01","Thursday",18,1.1936483970867
"LZ_CPS","01","Thursday",19,1.26908526280572
"LZ_CPS","01","Thursday",20,1.05352194837392
"LZ_CPS","01","Thursday",21,1.01077988144361
"LZ_CPS","01","Thursday",22,0.920210347519495
"LZ_CPS","01","Thursday",23,0.843785225917697
"LZ_CPS","01","Thursday",24,0.782266297214525
"LZ_CPS","01","Tuesday",1,0.585249459610568
"LZ_CPS","01","Tuesday",2,0.551509788642797
"LZ_CPS","01","Tuesday",3,0.555102112691558
"LZ_CPS","01","Tuesday",4,0.583752657923584
"LZ_CPS","01","Tuesday",5,0.66463277731553
"LZ_CPS","01","Tuesday",6,0.805138432144257
"LZ_CPS","01","Tuesday",7,1.48489771121413
"LZ_CPS","01","Tuesday",8,1.47058124331392
"LZ_CPS","01","Tuesday",9,1.24574402049738
"LZ_CPS","01","Tuesday",10,1.07644694498373
"LZ_CPS","01","Tuesday",11,0.983768506412034
"LZ_CPS","01","Tuesday",12,0.898750170591369
"LZ_CPS","01","Tuesday",13,0.860520094562648
"LZ_CPS","01","Tuesday",14,0.829932511853349
"LZ_CPS","01","Tuesday",15,0.818609647327108
"LZ_CPS","01","Tuesday",16,0.835074465883928
"LZ_CPS","01","Tuesday",17,0.9050367376767
"LZ_CPS","01","Tuesday",18,1.55596937719843
"LZ_CPS","01","Tuesday",19,1.82014607023522
"LZ_CPS","01","Tuesday",20,1.45723329415235
"LZ_CPS","01","Tuesday",21,1.29637113638065
"LZ_CPS","01","Tuesday",22,1.05332576127774
"LZ_CPS","01","Tuesday",23,0.873815215429384
"LZ_CPS","01","Tuesday",24,0.788391862681652
"LZ_CPS","01","Wednesday",1,0.579653920991243
"LZ_CPS","01","Wednesday",2,0.548279702655997
"LZ_CPS","01","Wednesday",3,0.550543522295358
"LZ_CPS","01","Wednesday",4,0.572572228786063
"LZ_CPS","01","Wednesday",5,0.674835927494888
"LZ_CPS","01","Wednesday",6,1.05090570925155
"LZ_CPS","01","Wednesday",7,3.45554653951224
"LZ_CPS","01","Wednesday",8,3.46737354596146
"LZ_CPS","01","Wednesday",9,1.61316014468129
"LZ_CPS","01","Wednesday",10,0.903264036105021
"LZ_CPS","01","Wednesday",11,0.831358739226601
"LZ_CPS","01","Wednesday",12,0.754563011460587
"LZ_CPS","01","Wednesday",13,0.710563645136597
"LZ_CPS","01","Wednesday",14,0.675082625788921
"LZ_CPS","01","Wednesday",15,0.640994726219312
"LZ_CPS","01","Wednesday",16,0.633593777398325
"LZ_CPS","01","Wednesday",17,0.659264911642104
"LZ_CPS","01","Wednesday",18,0.94026878020996
"LZ_CPS","01","Wednesday",19,1.03214212724069
"LZ_CPS","01","Wednesday",20,0.866389896979276
"LZ_CPS","01","Wednesday",21,0.823507928810612
"LZ_CPS","01","Wednesday",22,0.753968033222037
"LZ_CPS","01","Wednesday",23,0.663981202557439
"LZ_CPS","01","Wednesday",24,0.598185316372423
"LZ_CPS","02","Friday",1,0.692891189896734
"LZ_CPS","02","Friday",2,0.647954304932681
"LZ_CPS","02","Friday",3,0.630049537010599
"LZ_CPS","02","Friday",4,0.665450820817452
"LZ_CPS","02","Friday",5,0.7279717042457
"LZ_CPS","02","Friday",6,0.853217597120851
"LZ_CPS","02","Friday",7,1.58888776835585
"LZ_CPS","02","Friday",8,1.32014128436577
"LZ_CPS","02","Friday",9,1.19046294079981
"LZ_CPS","02","Friday",10,1.15672382600201
"LZ_CPS","02","Friday",11,1.08857489663083
"LZ_CPS","02","Friday",12,1.06081375809366
"LZ_CPS","02","Friday",13,1.00739106292549
"LZ_CPS","02","Friday",14,1.01161938759764
"LZ_CPS","02","Friday",15,1.0059621807949
"LZ_CPS","02","Friday",16,0.993918745694217
"LZ_CPS","02","Friday",17,1.00747854550491
"LZ_CPS","02","Friday",18,1.1805190876053
"LZ_CPS","02","Friday",19,1.51309869371498
"LZ_CPS","02","Friday",20,1.08201370317404
"LZ_CPS","02","Friday",21,1.00543728531836
"LZ_CPS","02","Friday",22,0.947203048281879
"LZ_CPS","02","Friday",23,0.847122977420989
"LZ_CPS","02","Friday",24,0.775095653695349
